model_key,source_file,batch_id,batch_size,sum_prompt_len,max_prompt_len,sum_prompt_len_sq,duration_ms
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-0,1,911,911,829921,30.090837040916085
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-1,1,980,980,960400,27.92284986935556
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-2,1,1070,1070,1144900,26.494826190173626
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-3,1,958,958,917764,25.604968890547752
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-4,1,1206,1206,1454436,30.74038797058165
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-5,1,1107,1107,1225449,28.93151412717998
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-6,1,1360,1360,1849600,31.51864092797041
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-7,1,1175,1175,1380625,34.27382791414857
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-8,1,955,955,912025,24.76517087779939
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-9,1,1227,1227,1505529,30.23693198338151
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-10,1,826,826,682276,26.676078094169497
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-11,1,1181,1181,1394761,31.055510975420475
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-12,1,1478,1478,2184484,31.678057042881846
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-13,1,1402,1402,1965604,30.606103828176856
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-14,1,1285,1285,1651225,30.993370106443763
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-15,1,1459,1459,2128681,30.399810057133436
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-16,1,864,864,746496,28.549269074574113
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-17,1,1692,1692,2862864,32.70587092265487
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-18,1,917,917,840889,27.452083071693778
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-19,1,1055,1055,1113025,26.739889988675714
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-20,1,956,956,913936,26.284374995157123
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-21,1,1579,1579,2493241,36.06619383208454
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-22,1,1371,1371,1879641,37.61913417838514
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-23,1,943,943,889249,28.025275096297264
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-24,1,1116,1116,1245456,29.66522704809904
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-25,1,1255,1255,1575025,29.64496985077858
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-26,1,1031,1031,1062961,27.778344927355647
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-27,1,1390,1390,1932100,29.64958199299872
/users/rh/.cache/modelscope/hub/models/LLM-Research/Llama-3.2-1B/converted_bin_v2,/users/rh/cuda_data/fit/llama_1B/prefill_batch_trace.jsonl.gz,991726-28,1,1113,1113,1238769,36.41870804131031
