split,model,request_rate,status,requests,avg_latency_s,p50_latency_s,p90_latency_s,p99_latency_s,avg_ftl_s,p50_ftl_s,p90_ftl_s,p99_ftl_s,avg_tpot_s,p50_tpot_s,p90_tpot_s,p99_tpot_s,exp_path
fit,llama_1B,1,completed,120,1.221996,0.576719,2.842355,7.145507,0.072172,0.066522,0.080390,0.101815,0.005170,0.005082,0.005694,0.009717,/users/rh/cuda_data/fit/llama_1B/vllm-pd-120-1.exp
fit,llama_1B,1.5,completed,120,1.248381,0.556631,2.855039,7.216003,0.061866,0.060675,0.068505,0.135271,0.005200,0.005202,0.005953,0.010021,/users/rh/cuda_data/fit/llama_1B/vllm-pd-120-1.5.exp
fit,llama_1B,2,completed,120,1.298125,0.649724,2.903543,7.368676,0.061745,0.061057,0.069764,0.104245,0.005368,0.005388,0.006562,0.008340,/users/rh/cuda_data/fit/llama_1B/vllm-pd-120-2.exp
fit,llama_1B,2.5,completed,120,1.345656,0.657801,3.190881,7.786154,0.067350,0.060465,0.074479,0.315660,0.005445,0.005482,0.006809,0.008075,/users/rh/cuda_data/fit/llama_1B/vllm-pd-120-2.5.exp
fit,llama_1B,3,completed,120,1.377211,0.660674,3.307433,7.947559,0.063241,0.061486,0.077878,0.098459,0.005669,0.005657,0.006802,0.009511,/users/rh/cuda_data/fit/llama_1B/vllm-pd-120-3.exp
fit,llama_1B,3.5,completed,120,1.407587,0.767635,3.459586,8.099162,0.063209,0.061296,0.079436,0.097484,0.005827,0.005851,0.007150,0.008734,/users/rh/cuda_data/fit/llama_1B/vllm-pd-120-3.5.exp
fit,llama_1B,4,completed,120,1.432285,0.766968,3.553369,8.277333,0.063472,0.060719,0.078516,0.102840,0.006346,0.006005,0.007235,0.011559,/users/rh/cuda_data/fit/llama_1B/vllm-pd-120-4.exp
fit,llama_3B,1,completed,120,2.239621,1.045424,5.101428,12.875139,0.103997,0.095496,0.123287,0.186186,0.009320,0.009360,0.011252,0.016037,/users/rh/cuda_data/fit/llama_3B/vllm-pd-120-1.exp
fit,llama_3B,1.5,completed,120,2.306311,1.233027,5.323629,13.252110,0.084199,0.080999,0.094410,0.234531,0.009556,0.009706,0.011336,0.013566,/users/rh/cuda_data/fit/llama_3B/vllm-pd-120-1.5.exp
fit,llama_3B,2,completed,120,2.364064,1.218456,5.645757,13.670680,0.082420,0.079890,0.095437,0.137612,0.009921,0.009942,0.012039,0.015089,/users/rh/cuda_data/fit/llama_3B/vllm-pd-120-2.exp
fit,llama_3B,2.5,completed,120,2.457517,1.267367,5.986867,14.332147,0.086482,0.081757,0.114575,0.169440,0.010335,0.010387,0.012165,0.015232,/users/rh/cuda_data/fit/llama_3B/vllm-pd-120-2.5.exp
fit,llama_3B,3,completed,120,2.542311,1.357890,6.150743,14.805990,0.086872,0.082470,0.108308,0.175108,0.011239,0.010796,0.012774,0.020211,/users/rh/cuda_data/fit/llama_3B/vllm-pd-120-3.exp
fit,llama_3B,3.5,completed,120,2.667709,1.467568,6.599543,15.504350,0.099203,0.083715,0.106491,0.540947,0.011806,0.011550,0.014556,0.018306,/users/rh/cuda_data/fit/llama_3B/vllm-pd-120-3.5.exp
fit,llama_3B,4,completed,120,2.677618,1.383185,6.638587,15.783530,0.087230,0.085201,0.103240,0.172721,0.011718,0.011821,0.013372,0.019359,/users/rh/cuda_data/fit/llama_3B/vllm-pd-120-4.exp
fit,llama_7B,1,completed,120,4.327864,2.050086,10.724645,24.011370,0.213943,0.167016,0.447754,0.700671,0.017469,0.016754,0.022481,0.028890,/users/rh/cuda_data/fit/llama_7B/vllm-pd-120-1.exp
fit,llama_7B,1.5,completed,120,4.929282,2.211001,12.348878,25.931804,0.345753,0.179700,0.833126,2.654259,0.020074,0.019761,0.026258,0.035196,/users/rh/cuda_data/fit/llama_7B/vllm-pd-120-1.5.exp
fit,llama_7B,2,failed: P2pNcclConnector Peer Out Of Memory/Threshold,,,,,,,,,,,,,,
fit,llama_7B,2.5,skipped after rate=2 failure,,,,,,,,,,,,,,
fit,llama_7B,3,skipped after rate=2 failure,,,,,,,,,,,,,,
fit,llama_7B,3.5,skipped after rate=2 failure,,,,,,,,,,,,,,
fit,llama_7B,4,skipped after rate=2 failure,,,,,,,,,,,,,,
fit,llama_8B,1,completed,120,3.969471,1.957970,9.214349,22.874635,0.189356,0.147459,0.290237,0.986842,0.016339,0.016344,0.018808,0.025079,/users/rh/cuda_data/fit/llama_8B/vllm-pd-120-1.exp
fit,llama_8B,1.5,completed,120,3.893703,2.024503,9.154467,22.742952,0.108479,0.100642,0.128175,0.245852,0.016740,0.016623,0.019204,0.022713,/users/rh/cuda_data/fit/llama_8B/vllm-pd-120-1.5.exp
fit,llama_8B,2,completed,120,4.054662,2.233824,9.847848,23.963031,0.108570,0.102355,0.141199,0.209605,0.017427,0.017549,0.020016,0.025689,/users/rh/cuda_data/fit/llama_8B/vllm-pd-120-2.exp
fit,llama_8B,2.5,completed,120,4.253519,2.321631,10.577413,24.768608,0.113220,0.102949,0.133226,0.431477,0.018794,0.018890,0.021202,0.026973,/users/rh/cuda_data/fit/llama_8B/vllm-pd-120-2.5.exp
fit,llama_8B,3,completed,120,4.382539,2.292018,11.163495,25.007164,0.114377,0.105264,0.133687,0.304559,0.019358,0.019306,0.022316,0.031145,/users/rh/cuda_data/fit/llama_8B/vllm-pd-120-3.exp
fit,llama_8B,3.5,completed,120,4.448017,2.275173,11.397023,25.093842,0.113263,0.107691,0.133961,0.219197,0.020108,0.019948,0.022974,0.030441,/users/rh/cuda_data/fit/llama_8B/vllm-pd-120-3.5.exp
fit,llama_8B,4,completed,120,4.566703,2.489272,11.577133,24.969601,0.127695,0.107865,0.142671,0.584026,0.021325,0.021486,0.023627,0.031433,/users/rh/cuda_data/fit/llama_8B/vllm-pd-120-4.exp
val,llama_1B,1,completed,120,1.096931,0.552641,3.045140,4.631236,0.071864,0.067335,0.078716,0.124262,0.005124,0.004882,0.005582,0.014945,/users/rh/cuda_data/val/llama_1B/vllm-pd-120-1.exp
val,llama_1B,1.5,completed,120,1.176790,0.617789,3.037471,5.034453,0.084771,0.060608,0.071261,1.348788,0.005220,0.005057,0.006036,0.010650,/users/rh/cuda_data/val/llama_1B/vllm-pd-120-1.5.exp
val,llama_1B,2,completed,120,1.324796,0.653871,3.517549,5.697425,0.171162,0.060802,0.188540,2.091588,0.005828,0.005251,0.007297,0.018894,/users/rh/cuda_data/val/llama_1B/vllm-pd-120-2.exp
val,llama_1B,2.5,completed,120,1.320159,0.726415,3.400629,5.350550,0.159418,0.061409,0.097091,2.061670,0.005548,0.005509,0.006569,0.010348,/users/rh/cuda_data/val/llama_1B/vllm-pd-120-2.5.exp
val,llama_1B,3,completed,120,1.278057,0.668727,3.633125,5.785767,0.065213,0.060258,0.073214,0.365095,0.005664,0.005438,0.007235,0.009439,/users/rh/cuda_data/val/llama_1B/vllm-pd-120-3.exp
val,llama_1B,3.5,completed,120,1.289580,0.694503,3.572149,5.693971,0.062582,0.060673,0.083727,0.123886,0.005762,0.005702,0.006982,0.009678,/users/rh/cuda_data/val/llama_1B/vllm-pd-120-3.5.exp
val,llama_1B,4,completed,120,1.361323,0.741918,3.802956,6.028746,0.062655,0.061046,0.077189,0.110527,0.006122,0.005931,0.008007,0.010669,/users/rh/cuda_data/val/llama_1B/vllm-pd-120-4.exp
val,llama_3B,1,completed,120,2.067982,1.166879,5.524423,8.880843,0.109994,0.096864,0.127076,0.306033,0.009783,0.009105,0.011438,0.021628,/users/rh/cuda_data/val/llama_3B/vllm-pd-120-1.exp
val,llama_3B,1.5,completed,120,2.079040,1.107246,5.588033,9.166371,0.080209,0.080649,0.092677,0.140632,0.009666,0.009286,0.011608,0.019002,/users/rh/cuda_data/val/llama_3B/vllm-pd-120-1.5.exp
val,llama_3B,2,completed,120,2.217311,1.160155,6.258509,9.491175,0.102748,0.081935,0.109524,0.710638,0.010023,0.010011,0.012198,0.019645,/users/rh/cuda_data/val/llama_3B/vllm-pd-120-2.exp
val,llama_3B,2.5,completed,120,2.295112,1.194124,6.417444,10.411067,0.087183,0.081354,0.113823,0.261996,0.010408,0.010109,0.013205,0.016391,/users/rh/cuda_data/val/llama_3B/vllm-pd-120-2.5.exp
val,llama_3B,3,completed,120,2.437066,1.263904,6.699435,10.905583,0.094187,0.082841,0.112202,0.439949,0.011350,0.010875,0.014169,0.018361,/users/rh/cuda_data/val/llama_3B/vllm-pd-120-3.exp
val,llama_3B,3.5,completed,120,2.425026,1.255742,6.892488,10.758788,0.084616,0.083219,0.106910,0.154537,0.011684,0.011514,0.013920,0.017737,/users/rh/cuda_data/val/llama_3B/vllm-pd-120-3.5.exp
val,llama_3B,4,completed,120,2.584749,1.365394,7.204877,11.524004,0.087339,0.083748,0.105150,0.163556,0.012560,0.011686,0.016065,0.020418,/users/rh/cuda_data/val/llama_3B/vllm-pd-120-4.exp
val,llama_7B,1,completed,120,4.170985,2.042352,12.557157,17.297810,0.223124,0.161894,0.416733,0.965692,0.019578,0.016280,0.023779,0.030585,/users/rh/cuda_data/val/llama_7B/vllm-pd-120-1.exp
val,llama_7B,1.5,failed with 0.25GB and 1GB connector pool: P2pNcclConnector Peer Out Of Memory/Threshold; decode EngineCore 500,,,,,,,,,,,,,,
val,llama_7B,2,skipped after rate=1.5 failure,,,,,,,,,,,,,,
val,llama_7B,2.5,skipped after rate=1.5 failure,,,,,,,,,,,,,,
val,llama_7B,3,skipped after rate=1.5 failure,,,,,,,,,,,,,,
val,llama_7B,3.5,skipped after rate=1.5 failure,,,,,,,,,,,,,,
val,llama_7B,4,skipped after rate=1.5 failure,,,,,,,,,,,,,,
val,llama_8B,1,completed,120,3.586258,1.917662,9.940254,15.609389,0.158458,0.137317,0.201475,0.538064,0.016040,0.015810,0.019396,0.022841,/users/rh/cuda_data/val/llama_8B/vllm-pd-120-1.exp
val,llama_8B,1.5,completed,120,3.690613,1.896418,10.430896,16.767109,0.111175,0.102484,0.129720,0.498601,0.017151,0.016453,0.020747,0.027543,/users/rh/cuda_data/val/llama_8B/vllm-pd-120-1.5.exp
val,llama_8B,2,completed,120,3.832608,1.914098,10.573889,17.309944,0.107465,0.102494,0.140103,0.296308,0.018166,0.017469,0.021706,0.024767,/users/rh/cuda_data/val/llama_8B/vllm-pd-120-2.exp
val,llama_8B,2.5,completed,120,3.992875,2.096671,11.169924,18.000322,0.116787,0.104027,0.134414,0.507541,0.019180,0.018692,0.022963,0.027226,/users/rh/cuda_data/val/llama_8B/vllm-pd-120-2.5.exp
val,llama_8B,3,completed,120,4.124110,2.256402,11.667368,18.402522,0.111996,0.106275,0.130934,0.264868,0.020228,0.019588,0.024168,0.039300,/users/rh/cuda_data/val/llama_8B/vllm-pd-120-3.exp
val,llama_8B,3.5,completed,120,4.153550,2.305829,11.929341,18.635188,0.109378,0.106224,0.133783,0.199530,0.020509,0.019673,0.023167,0.034523,/users/rh/cuda_data/val/llama_8B/vllm-pd-120-3.5.exp
val,llama_8B,4,completed,120,4.334119,2.325927,12.620400,19.033448,0.114464,0.106284,0.142064,0.197364,0.021525,0.021053,0.024113,0.036461,/users/rh/cuda_data/val/llama_8B/vllm-pd-120-4.exp
