req_id,source_index,prefill_lens,output_lens,first_token_prefill
0,61323,910,405,True
1,37205,979,296,True
2,48950,1069,306,True
3,50386,957,453,True
4,56541,1205,398,True
5,24353,1106,348,True
6,19732,1359,269,True
7,17021,1174,155,True
8,27126,954,252,True
9,10497,1226,191,True
10,13802,825,165,True
11,64888,1180,195,True
12,16849,1477,205,True
13,46349,1401,98,True
14,52531,1284,20,True
15,17011,1458,19,True
16,30124,863,2,True
17,46102,1691,19,True
18,16488,916,11,True
19,25512,1054,19,True
20,19334,955,8,True
21,60550,1578,9,True
22,64251,1370,6,True
23,49751,942,9,True
24,7995,1115,18,True
25,63661,1254,29,True
26,37730,1030,57,True
27,48834,1389,15,True
28,50605,1112,18,True
29,12266,1088,17,True
30,45280,1422,14,True
31,30519,1213,29,True
32,11466,1397,30,True
33,52514,584,365,True
34,17400,445,399,True
35,26259,573,409,True
36,31313,434,759,True
37,55193,377,278,True
38,32157,872,527,True
39,2504,588,393,True
40,32280,278,446,True
41,49142,344,414,True
42,62974,427,265,True
43,25641,713,421,True
44,12270,566,346,True
45,56721,584,278,True
46,17585,368,490,True
47,15600,680,899,True
48,43540,765,413,True
49,7178,267,1230,True
50,38845,596,555,True
51,41800,843,262,True
52,41116,765,315,True
53,22333,738,436,True
54,23308,251,1328,True
55,46173,506,129,True
56,54143,496,105,True
57,4351,788,229,True
58,37183,688,244,True
59,11566,778,96,True
60,9443,707,191,True
61,1124,637,157,True
62,59962,655,127,True
63,33269,459,237,True
64,18177,386,155,True
65,11782,440,167,True
66,49699,497,68,True
67,38920,466,36,True
68,6002,342,22,True
69,54334,681,18,True
70,21003,740,36,True
71,62291,745,42,True
72,49097,280,6,True
73,63928,331,25,True
74,41602,877,11,True
75,26328,568,21,True
76,39512,458,16,True
77,62676,782,6,True
78,6933,456,19,True
79,33512,275,20,True
80,7913,713,10,True
81,48287,257,24,True
82,31643,347,10,True
83,29823,279,14,True
84,50008,581,46,True
85,2233,257,31,True
86,17463,541,30,True
87,876,363,12,True
88,33638,415,13,True
89,56903,819,27,True
90,54976,322,9,True
91,26563,248,1,True
92,3393,476,32,True
93,39450,501,13,True
94,31030,500,3,True
95,63505,259,2,True
96,50440,262,53,True
97,10318,135,700,True
98,57582,238,795,True
99,45321,51,1704,True
100,33050,86,262,True
101,42111,110,729,True
102,18580,95,781,True
103,35861,46,1351,True
104,10277,14,1177,True
105,52921,44,154,True
106,8449,160,117,True
107,60218,143,98,True
108,47079,132,221,True
109,64091,196,157,True
110,57115,124,204,True
111,18765,39,128,True
112,12054,172,7,True
113,30626,156,16,True
114,34950,15,40,True
115,31473,204,12,True
116,27901,193,11,True
117,9326,159,50,True
118,29732,199,44,True
119,24711,6,9,True
