backend,model_type,pd,rate,target,attainment,tp_prefill,pp_prefill,tp_decode,pp_decode
vllm_ascend,LLAMA-3.2-3B,prefill,1.5,80.0,86.66666666666667,1,1,1,1
vllm_ascend,LLAMA-3.2-3B,decode,1.5,40.0,100.0,1,1,1,1
vllm_ascend,LLAMA-3.2-3B,both,1.5,"(80.0, 40.0)",86.66666666666667,1,1,1,1
vllm_ascend,LLAMA-3.2-3B,prefill,1.5,120.0,97.5,1,1,1,1
vllm_ascend,LLAMA-3.2-3B,decode,1.5,60.0,100.0,1,1,1,1
vllm_ascend,LLAMA-3.2-3B,both,1.5,"(120.0, 60.0)",97.5,1,1,1,1
vllm_ascend,LLAMA-3.2-3B,prefill,1.5,160.0,98.33333333333333,1,1,1,1
vllm_ascend,LLAMA-3.2-3B,decode,1.5,80.0,100.0,1,1,1,1
vllm_ascend,LLAMA-3.2-3B,both,1.5,"(160.0, 80.0)",98.33333333333333,1,1,1,1
vllm_ascend,LLAMA-3.2-3B,prefill,1.5,200.0,100.0,1,1,1,1
vllm_ascend,LLAMA-3.2-3B,decode,1.5,100.0,100.0,1,1,1,1
vllm_ascend,LLAMA-3.2-3B,both,1.5,"(200.0, 100.0)",100.0,1,1,1,1
vllm_ascend,LLAMA-3.2-3B,prefill,1.5,240.0,100.0,1,1,1,1
vllm_ascend,LLAMA-3.2-3B,decode,1.5,120.0,100.0,1,1,1,1
vllm_ascend,LLAMA-3.2-3B,both,1.5,"(240.0, 120.0)",100.0,1,1,1,1
vllm_ascend,LLAMA-3.2-3B,prefill,1.5,76.97350101309758,85.0,1,1,1,1
vllm_ascend,LLAMA-3.2-3B,decode,1.5,12.488982976665039,85.0,1,1,1,1
vllm_ascend,LLAMA-3.2-3B,prefill,1.5,81.0030737823252,90.0,1,1,1,1
vllm_ascend,LLAMA-3.2-3B,decode,1.5,12.609657620886757,90.0,1,1,1,1
vllm_ascend,LLAMA-3.2-3B,prefill,1.5,102.8747166165095,95.0,1,1,1,1
vllm_ascend,LLAMA-3.2-3B,decode,1.5,12.808626755576324,95.0,1,1,1,1
vllm_ascend,LLAMA-3.2-3B,prefill,1.5,121.28379493234887,98.0,1,1,1,1
vllm_ascend,LLAMA-3.2-3B,decode,1.5,13.01186278025061,98.0,1,1,1,1
vllm_ascend,LLAMA-3.2-3B,prefill,1.5,157.18727246836102,99.0,1,1,1,1
vllm_ascend,LLAMA-3.2-3B,decode,1.5,13.078893204611456,99.0,1,1,1,1
