req_id,source_index,prefill_lens,output_lens,first_token_prefill
0,61323,1088,405,True
1,37205,1135,296,True
2,48950,1334,306,True
3,50386,1179,453,True
4,56541,1304,398,True
5,24353,1305,348,True
6,19732,1599,269,True
7,17021,1387,155,True
8,27126,1120,252,True
9,10497,1410,191,True
10,13802,1047,165,True
11,64888,1640,195,True
12,16849,1672,205,True
13,46349,1687,98,True
14,52531,1451,20,True
15,17011,1745,19,True
16,30124,1140,2,True
17,46102,1866,19,True
18,16488,1093,11,True
19,25512,1211,19,True
20,19334,1151,8,True
21,60550,1871,9,True
22,64251,1593,6,True
23,49751,1040,9,True
24,7995,1411,18,True
25,63661,1389,29,True
26,37730,1350,57,True
27,48834,1687,15,True
28,50605,1340,18,True
29,12266,1274,17,True
30,45280,1685,14,True
31,30519,1412,29,True
32,11466,1665,30,True
33,52514,670,365,True
34,17400,509,399,True
35,26259,707,409,True
36,31313,494,759,True
37,55193,486,278,True
38,32157,998,527,True
39,2504,684,393,True
40,32280,306,446,True
41,49142,421,414,True
42,62974,475,265,True
43,25641,862,421,True
44,12270,707,346,True
45,56721,678,278,True
46,17585,446,490,True
47,15600,817,899,True
48,43540,948,413,True
49,7178,322,1230,True
50,38845,716,555,True
51,41800,980,262,True
52,41116,876,315,True
53,22333,891,436,True
54,23308,277,1328,True
55,46173,625,129,True
56,54143,572,105,True
57,4351,964,229,True
58,37183,757,244,True
59,11566,969,96,True
60,9443,811,191,True
61,1124,756,157,True
62,59962,864,127,True
63,33269,548,237,True
64,18177,419,155,True
65,11782,543,167,True
66,49699,687,68,True
67,38920,545,36,True
68,6002,387,22,True
69,54334,794,18,True
70,21003,963,36,True
71,62291,903,42,True
72,49097,325,6,True
73,63928,428,25,True
74,41602,956,11,True
75,26328,711,21,True
76,39512,532,16,True
77,62676,884,6,True
78,6933,545,19,True
79,33512,305,20,True
80,7913,1002,10,True
81,48287,263,24,True
82,31643,400,10,True
83,29823,330,14,True
84,50008,651,46,True
85,2233,284,31,True
86,17463,622,30,True
87,876,503,12,True
88,33638,458,13,True
89,56903,949,27,True
90,54976,394,9,True
91,26563,272,1,True
92,3393,536,32,True
93,39450,566,13,True
94,31030,606,3,True
95,63505,326,2,True
96,50440,303,53,True
97,10318,151,700,True
98,57582,248,795,True
99,45321,75,1704,True
100,33050,97,262,True
101,42111,111,729,True
102,18580,106,781,True
103,35861,62,1351,True
104,10277,15,1177,True
105,52921,51,154,True
106,8449,203,117,True
107,60218,155,98,True
108,47079,142,221,True
109,64091,255,157,True
110,57115,153,204,True
111,18765,48,128,True
112,12054,203,7,True
113,30626,188,16,True
114,34950,15,40,True
115,31473,236,12,True
116,27901,242,11,True
117,9326,178,50,True
118,29732,256,44,True
119,24711,6,9,True
